song_name,artist,weeks_on_chart,peak_position,last_week
30,adele,1,1,-
red (taylor's version),taylor swift,2,1,1
certified lover boy,drake,12,1,1
an evening with silk sonic,silk sonic (bruno mars & anderson .paak),2,2,1
dangerous: the double album,morgan wallen,46,1,5
still over it,summer walker,3,12,1
raise the roof,robert plant / alison krauss,1,2,2
sour,olivia rodrigo,27,2,2
christmas,michael buble,95,1,6
the highlights,the weeknd,41,46,1
=,ed sheeran,4,1,4
planet her,doja cat,22,3,1
happier than ever,billie eilish,17,7,-
donda,kanye west,13,1,7
scaled and icy,twenty one pilots,9,1,11
formula of love: o+t=<3,twice,2,27,1
"sincerely, kentrell",youngboy never broke again,9,1,22
f*ck love,the kid laroi,70,95,1
montero,lil nas x,10,2,-
what you see is what you get,luke combs,107,41,2
a charlie brown christmas (soundtrack),vince guaraldi trio,94,1,7
merry christmas,mariah carey,103,4,1
soulfly,rod wave,35,2,10
fine line,harry styles,102,22,2
greatest hits,queen,466,1,16
shoot for the stars aim for the moon,pop smoke,73,17,1
the christmas song,nat king cole,60,1,9
my turn,lil baby,91,13,1
evermore,taylor swift,50,3,-
a gangsta's pain,moneybagg yo,31,9,3
25,adele,193,3,3
fearless (taylor's version),taylor swift,32,2,3
the legendary 1979 no nukes concerts,bruce springsteen & the e street band,1,1,14
lover,taylor swift,118,9,1
folklore,taylor swift,70,1,15
21,adele,517,70,1
a christmas gift for you from phil spector,various artists,18,2,17
justice,justin bieber,36,10,2
the best of pentatonix christmas,pentatonix,22,1,18
hollywood's bleeding,post malone,116,107,1
legends never die,juice wrld,72,10,51
macon,jason aldean,2,94,10
future nostalgia,dua lipa,86,3,49
rumours,fleetwood mac,452,103,3
starting over,chris stapleton,54,1,21
goodbye & good riddance,juice wrld,184,35,1
christmas classics,bing crosby,38,1,33
this one's for you,luke combs,234,102,1
diamonds,elton john,211,8,37
rich slave,young dolph,15,466,8
the melodic blue,baby keem,11,1,28
the andy williams christmas album,andy williams,16,73,1
hamilton: an american musical,original broadway cast,322,6,78
traveller,chris stapleton,324,60,6
"good kid, m.a.a.d city",kendrick lamar,474,1,26
positions,ariana grande,56,91,1
if i know me,morgan wallen,165,1,31
the voice of the heroes,lil baby & lil durk,25,50,1
they got amnesia,french montana,1,1,25
dreamland,glass animals,55,31,1
expensive pain,meek mill,8,1,23
nevermind,nirvana,551,193,1
"when we all fall asleep, where do we go?",billie eilish,139,1,19
voyage,abba,3,32,1
whole lotta red,playboi carti,42,33,-
curtain call: the hits,eminem,556,1,33
hall of fame,polo g,24,1,43
when christmas comes around...,kelly clarkson,4,118,1
speak now,taylor swift,143,1,24
the goat,polo g,80,70,1
abbey road,the beatles,438,1,32
something for thee hotties: from thee archives,megan thee stallion,4,517,1
ultimate christmas,frank sinatra,27,12,135
punk,young thug,6,18,12
2014 forest hills drive,j. cole,364,1,36
over it,summer walker,112,36,1
my gift,carrie underwood,17,7,75
yhlqmdlg,bad bunny,91,22,7
eternal atake,lil uzi vert,90,1,35
let it be (soundtrack),the beatles,67,116,1
death race for love,juice wrld,142,1,34
beerbongs & bentleys,post malone,187,72,1
luv is rage 2,lil uzi vert,222,8,8
sticker: the 3rd album,nct 127,10,2,8
1989,taylor swift,363,3,41
damn.,kendrick lamar,241,86,3
chronicle the 20 greatest hits,creedence clearwater revival,565,1,50
"never broke again: the compilation, volume one",various artists,1,452,1
astroworld,travis scott,173,3,29
destroyer,kiss,84,54,3
รท (divide),ed sheeran,247,4,38
the off-season,j. cole,28,184,4
rudolph the red-nosed reindeer,burl ives,44,19,112
greatest hits,foo fighters,157,38,19
rockin' around the christmas tree: the decca christmas recordings,brenda lee,14,4,47
the lockdown sessions,elton john,5,234,4
legend: the best of...,bob marley and the wailers,706,7,53
scorpion,drake,178,211,7
pray 4 love,rod wave,86,4,126
greatest hits,tom petty and the heartbreakers,437,15,4
the bridge,sting,1,5,42
greatest hits,2pac,398,11,5
yellow tape 2,key glock,3,40,162
ctrl,sza,233,16,40
take care,drake,456,2,57
stoney,post malone,259,322,2
hot pink,doja cat,108,1,20
circles,mac miller,61,324,1
?,xxxtentacion,193,2,52
el ultimo tour del mundo,bad bunny,52,474,2
wrapped in red,kelly clarkson,52,1,70
top,youngboy never broke again,63,56,1
music of the spheres,coldplay,6,10,58
tickets to my downfall,machine gun kelly,61,165,10
blockchain,money man,2,1,48
thats what they all say,jack harlow,50,25,1
when it's all said and done... take time,giveon,37,59,-
purple rain (soundtrack),prince and the revolution,155,1,59
doo-wops & hooligans,bruno mars,547,7,62
the voice,lil durk,49,55,7
country stuff (ep),walker hayes,23,3,46
harry styles,harry styles,107,8,3
shiesty season,pooh shiesty,42,1,12
believers never die: greatest hits,fall out boy,19,551,1
back in black,ac/dc,491,1,65
free dem boyz,42 dugg,27,139,1
the dean martin christmas album,dean martin,21,2,27
dont smile at me,billie eilish,205,3,2
trip at knight,trippie redd,14,1,56
paper route illuminati,young dolph,3,42,1
gold: greatest hits,abba,197,1,61
divinely uninspired to a hellish extent,lewis capaldi,132,556,1
still sleep?,sleepy hallow,26,1,45
[hybrid theory],linkin park,268,24,1
rudolph the red nosed reindeer and other christmas classics,gene autry,20,63,134
die lit,playboi carti,104,4,63
the house is burning,isaiah rashad,6,1,39
goldmine,gabby barrett,72,143,1
50 number ones,george strait,187,2,71
metallica,metallica,635,80,2
greatest hits,guns n' roses,550,1,111
dum and dummer 2,young dolph & key glock,8,438,1
man on the moon: the end of day,kid cudi,202,5,66
views,drake,289,4,5
invasion of privacy,cardi b,190,12,193
19,adele,222,27,12
la 167,farruko,8,1,55
am,arctic monkeys,175,6,1
"thank u, next",ariana grande,146,1,68
graduation,kanye west,199,364,1
please excuse me for being antisocial,roddy ricch,103,2,63
life of a don,don toliver,7,112,2
last christmas (soundtrack),george michael & wham!,15,5,104
1,the beatles,500,17,5
white christmas,bing crosby,43,2,80
t r a p s o u l,bryson tiller,254,91,2
good news,megan thee stallion,53,1,74
thriller,michael jackson,498,90,1
the classic christmas album,elvis presley,44,1,137
moana,soundtrack,259,67,1
blue banisters,lana del rey,5,1,73
american teen,khalid,247,142,1
reputation,taylor swift,167,1,82
in the lonely hour,sam smith,343,187,1
back on my baby jesus sh!t again (ep),dababy,2,1,89
snoop dogg presents: algorithm,snoop dogg & various artists,1,222,1
vice versa,rauw alejandro,22,3,96
i will always love you: the best of whitney houston,whitney houston,78,10,3
just cause y'all waited 2,lil durk,81,1,67
the best of nickelback: volume 1,nickelback,68,363,1
swimming,mac miller,168,1,118
9,jason aldean,66,241,1
greatest hits,bob seger & the silver bullet band,403,18,92
ghetto gospel,rod wave,94,565,18
igor,"tyler, the creator",111,88,-
ones,selena,29,1,88
evergreen,pentatonix,2,1,69
music to be murdered by,eminem,96,173,1
bulletproof,young dolph,5,11,-
back of my mind,h.e.r.,23,84,11
anti,rihanna,296,1,85
human: the double album,cody johnson,7,247,1
greatest hits,pitbull,43,1,91
all time greatest hits,lynyrd skynyrd,154,28,1
the anxiety,the anxiety: willow & tyler cole,11,16,-
purgatory,tyler childers,72,44,16
map of the soul : 7,bts,86,11,-
buy dirt (ep),jordan davis,15,157,11
blurryface,twenty one pilots,320,17,-
sniper gang presents syko bob & snapkatt: nightmare babies,various artists,1,14,17
nothing was the same,drake,402,10,101
born to die,lana del rey,408,5,10
destined 2 win,lil tjay,34,5,124
a different christmas,bryson tiller,1,706,5
made in lagos,wizkid,22,1,97
jose,j balvin,10,178,1
blonde,frank ocean,255,2,100
ready to die,the notorious b.i.g.,64,86,2
sounds of summer: the very best of the beach boys,the beach boys,274,2,116
17,xxxtentacion,209,437,2
